\begin{tabular}{|c|c|c|}
\toprule
\$Absorbance \textbackslash pm 0.02 \$ & Concentration en mol/L & Temps \textbackslash pm 0.033 en min \\
\midrule
            1.15200000 &             0.00002400 &             0.00750000 \\
            1.09000000 &             0.00002271 &             1.06666667 \\
            1.05500000 &             0.00002198 &             2.26666667 \\
            1.02000000 &             0.00002125 &             2.75000000 \\
            0.96500000 &             0.00002010 &             3.46666667 \\
            0.91900000 &             0.00001915 &             4.08333333 \\
            0.85800000 &             0.00001788 &             4.83333333 \\
            0.81500000 &             0.00001698 &             5.46666667 \\
            0.76500000 &             0.00001594 &             6.28333333 \\
            0.75100000 &             0.00001565 &             7.16666667 \\
            0.66900000 &             0.00001394 &             9.00000000 \\
            0.62300000 &             0.00001298 &            10.01666667 \\
            0.58100000 &             0.00001210 &            10.91666667 \\
            0.54900000 &             0.00001144 &            11.96666667 \\
            0.50900000 &             0.00001060 &            12.88333333 \\
            0.43900000 &             0.00000915 &            13.78333333 \\
            0.39400000 &             0.00000821 &            15.33333333 \\
            0.36200000 &             0.00000754 &            16.70000000 \\
            0.33000000 &             0.00000688 &            17.93333333 \\
            0.30900000 &             0.00000644 &            20.98333333 \\
            0.28700000 &             0.00000598 &            21.91666667 \\
            0.27300000 &             0.00000569 &            23.16666667 \\
            0.25200000 &             0.00000525 &            25.26666667 \\
\bottomrule
\end{tabular}
